ID	Order	Superfamily
ltr-1_family-1	LTR	Unknown
ltr-1_family-2	LTR	Gypsy
ltr-1_family-11	LTR	Unknown
ltr-1_family-101	LTR	Unknown
ltr-1_family-102	LTR	Pao
ltr-1_family-103	LTR	Unknown
ltr-1_family-104	LTR	Pao
ltr-1_family-105	LTR	Unknown
ltr-1_family-106	LTR	Gypsy
ltr-1_family-107	LTR	Unknown
ltr-1_family-108	LTR	Copia
ltr-1_family-109	LTR	Gypsy
ltr-1_family-110	LTR	Unknown
ltr-1_family-12	LTR	Gypsy
ltr-1_family-111	LTR	Unknown
ltr-1_family-112	LTR	Unknown
ltr-1_family-113	LTR	Unknown
ltr-1_family-114	LTR	Unknown
ltr-1_family-115	LTR	Copia
ltr-1_family-116	LTR	Unknown
ltr-1_family-117	LTR	Unknown
ltr-1_family-118	LTR	Unknown
ltr-1_family-119	LTR	Gypsy
ltr-1_family-120	LTR	Unknown
ltr-1_family-13	LTR	Unknown
ltr-1_family-121	DNA	TcMar-Tigger
ltr-1_family-122	LTR	Unknown
ltr-1_family-123	LTR	Unknown
ltr-1_family-124	LTR	Gypsy
ltr-1_family-125	LTR	Unknown
ltr-1_family-126	LTR	Gypsy
ltr-1_family-127	LTR	Copia
ltr-1_family-128	LTR	Unknown
ltr-1_family-129	LTR	Unknown
ltr-1_family-130	LTR	Pao
ltr-1_family-14	LTR	Gypsy
ltr-1_family-131	LTR	Unknown
ltr-1_family-132	LTR	Gypsy
ltr-1_family-15	LTR	Unknown
ltr-1_family-16	LTR	Gypsy
ltr-1_family-17	LTR	Unknown
ltr-1_family-18	LTR	Gypsy
ltr-1_family-19	LTR	Unknown
ltr-1_family-20	LTR	Gypsy
ltr-1_family-3	LTR	Unknown
ltr-1_family-21	LTR	Unknown
ltr-1_family-22	LTR	Pao
ltr-1_family-23	LTR	Unknown
ltr-1_family-24	LTR	Gypsy
ltr-1_family-25	LTR	Unknown
ltr-1_family-26	LTR	Gypsy
ltr-1_family-27	LTR	Unknown
ltr-1_family-28	LTR	Gypsy
ltr-1_family-29	LTR	Unknown
ltr-1_family-30	LTR	Gypsy
ltr-1_family-4	LTR	Pao
ltr-1_family-31	LTR	Unknown
ltr-1_family-32	LTR	Pao
ltr-1_family-33	LTR	Unknown
ltr-1_family-34	LTR	Gypsy
ltr-1_family-35	LTR	Unknown
ltr-1_family-36	LTR	Gypsy
ltr-1_family-37	LTR	Unknown
ltr-1_family-38	LTR	Gypsy
ltr-1_family-39	LTR	Unknown
ltr-1_family-40	LTR	Gypsy
ltr-1_family-5	LTR	Unknown
ltr-1_family-41	LTR	Unknown
ltr-1_family-42	LTR	Copia
ltr-1_family-43	LTR	Unknown
ltr-1_family-44	LTR	Gypsy
ltr-1_family-45	LTR	Unknown
ltr-1_family-46	LTR	Gypsy
ltr-1_family-47	LTR	Unknown
ltr-1_family-48	LTR	Unknown
ltr-1_family-49	LTR	Unknown
ltr-1_family-50	LTR	Copia
ltr-1_family-6	LTR	Gypsy
ltr-1_family-51	LTR	Unknown
ltr-1_family-52	LTR	Copia
ltr-1_family-53	LTR	Unknown
ltr-1_family-54	LTR	Gypsy
ltr-1_family-55	LTR	Unknown
ltr-1_family-56	LTR	Gypsy
ltr-1_family-57	LTR	Unknown
ltr-1_family-58	LTR	Gypsy
ltr-1_family-59	LTR	Unknown
ltr-1_family-60	LTR	Gypsy
ltr-1_family-7	LTR	Unknown
ltr-1_family-61	LTR	Unknown
ltr-1_family-62	LTR	Unknown
ltr-1_family-63	LTR	Unknown
ltr-1_family-64	LTR	Gypsy
ltr-1_family-65	LTR	Unknown
ltr-1_family-66	LTR	Pao
ltr-1_family-67	LTR	Unknown
ltr-1_family-68	LTR	Gypsy
ltr-1_family-69	LTR	Unknown
ltr-1_family-70	LTR	Gypsy
ltr-1_family-8	LTR	Copia
ltr-1_family-71	LTR	Unknown
ltr-1_family-72	LTR	Gypsy
ltr-1_family-73	LTR	Unknown
ltr-1_family-74	LTR	Gypsy
ltr-1_family-75	LTR	Unknown
ltr-1_family-76	LTR	Pao
ltr-1_family-77	LTR	Unknown
ltr-1_family-78	LTR	Unknown
ltr-1_family-79	LTR	Gypsy
ltr-1_family-80	LTR	Unknown
ltr-1_family-9	LTR	Unknown
ltr-1_family-81	LTR	Gypsy
ltr-1_family-82	LTR	Unknown
ltr-1_family-83	LTR	Gypsy
ltr-1_family-84	LTR	Unknown
ltr-1_family-85	LTR	Gypsy
ltr-1_family-86	LTR	Unknown
ltr-1_family-87	LTR	Gypsy
ltr-1_family-88	LTR	Pao
ltr-1_family-89	LTR	Unknown
ltr-1_family-90	LTR	Pao
ltr-1_family-10	LTR	Gypsy
ltr-1_family-91	LTR	Unknown
ltr-1_family-92	LTR	Unknown
ltr-1_family-93	LTR	Pao
ltr-1_family-94	LTR	Unknown
ltr-1_family-95	LTR	Pao
ltr-1_family-96	LTR	Unknown
ltr-1_family-97	LTR	Unknown
ltr-1_family-98	LTR	Unknown
ltr-1_family-99	DNA	TcMar-Tigger
ltr-1_family-100	DNA	TcMar-Tigger
rnd-1_family-6	Unknown	Unknown
rnd-1_family-198	Unknown	Unknown
rnd-1_family-331	Unknown	Unknown
rnd-1_family-306	Unknown	Unknown
rnd-1_family-105	LINE	Penelope
rnd-1_family-377	tRNA	Unknown
rnd-1_family-320	Unknown	Unknown
rnd-1_family-301	LINE	Penelope
rnd-1_family-211	Unknown	Unknown
rnd-1_family-332	Unknown	Unknown
rnd-1_family-24	Unknown	Unknown
rnd-1_family-353	Unknown	Unknown
rnd-1_family-52	Unknown	Unknown
rnd-1_family-26	DNA	Merlin
rnd-1_family-237	Unknown	Unknown
rnd-1_family-225	Unknown	Unknown
rnd-1_family-209	Unknown	Unknown
